,Unnamed: 0,City,Type,Total
0,0,Astoria,No of White,237
1,1,Astoria,No of Black,115
2,2,Astoria,No of Hispanic,616
3,3,Astoria,No of Asian,306
4,4,Bayside,No of White,604
5,5,Bayside,No of Black,434
6,6,Bayside,No of Hispanic,931
7,7,Bayside,No of Asian,1344
8,8,Bellerose,No of White,94
9,9,Bellerose,No of Black,539
10,10,Bellerose,No of Hispanic,196
11,11,Bellerose,No of Asian,278
12,12,Bronx,No of White,24
13,13,Bronx,No of Black,150
14,14,Bronx,No of Hispanic,321
15,15,Bronx,No of Asian,38
16,16,Brooklyn,No of White,107
17,17,Brooklyn,No of Black,299
18,18,Brooklyn,No of Hispanic,195
19,19,Brooklyn,No of Asian,129
20,20,Cambria Heights,No of White,6
21,21,Cambria Heights,No of Black,369
22,22,Cambria Heights,No of Hispanic,56
23,23,Cambria Heights,No of Asian,36
24,24,Corona,No of White,36
25,25,Corona,No of Black,68
26,26,Corona,No of Hispanic,672
27,27,Corona,No of Asian,89
28,28,Elmhurst,No of White,114
29,29,Elmhurst,No of Black,54
30,30,Elmhurst,No of Hispanic,584
31,31,Elmhurst,No of Asian,170
32,32,Far Rockaway,No of White,9
33,33,Far Rockaway,No of Black,250
34,34,Far Rockaway,No of Hispanic,187
35,35,Far Rockaway,No of Asian,21
36,36,Flushing,No of White,141
37,37,Flushing,No of Black,238
38,38,Flushing,No of Hispanic,560
39,39,Flushing,No of Asian,488
40,40,Forest Hills,No of White,760
41,41,Forest Hills,No of Black,206
42,42,Forest Hills,No of Hispanic,892
43,43,Forest Hills,No of Asian,530
44,44,Fresh Meadows,No of White,286
45,45,Fresh Meadows,No of Black,170
46,46,Fresh Meadows,No of Hispanic,445
47,47,Fresh Meadows,No of Asian,890
48,48,Hollis,No of White,8
49,49,Hollis,No of Black,294
50,50,Hollis,No of Hispanic,34
51,51,Hollis,No of Asian,25
52,52,Jamaica,No of White,31
53,53,Jamaica,No of Black,352
54,54,Jamaica,No of Hispanic,194
55,55,Jamaica,No of Asian,321
56,56,Long Island City,No of White,114
57,57,Long Island City,No of Black,64
58,58,Long Island City,No of Hispanic,458
59,59,Long Island City,No of Asian,202
60,60,Manhattan,No of White,81
61,61,Manhattan,No of Black,149
62,62,Manhattan,No of Hispanic,297
63,63,Manhattan,No of Asian,97
64,64,Oakland Gardens,No of White,522
65,65,Oakland Gardens,No of Black,712
66,66,Oakland Gardens,No of Hispanic,680
67,67,Oakland Gardens,No of Asian,1546
68,68,Ozone Park,No of White,100
69,69,Ozone Park,No of Black,259
70,70,Ozone Park,No of Hispanic,530
71,71,Ozone Park,No of Asian,445
72,72,Queens Village,No of White,63
73,73,Queens Village,No of Black,918
74,74,Queens Village,No of Hispanic,226
75,75,Queens Village,No of Asian,470
76,76,Richmond Hill,No of White,117
77,77,Richmond Hill,No of Black,296
78,78,Richmond Hill,No of Hispanic,1048
79,79,Richmond Hill,No of Asian,683
80,80,Ridgewood,No of White,345
81,81,Ridgewood,No of Black,82
82,82,Ridgewood,No of Hispanic,1201
83,83,Ridgewood,No of Asian,177
84,84,Rockaway Park,No of White,148
85,85,Rockaway Park,No of Black,260
86,86,Rockaway Park,No of Hispanic,174
87,87,Rockaway Park,No of Asian,88
88,88,Saint Albans,No of White,8
89,89,Saint Albans,No of Black,537
90,90,Saint Albans,No of Hispanic,34
91,91,Saint Albans,No of Asian,17
92,92,Springfield Gardens,No of White,8
93,93,Springfield Gardens,No of Black,409
94,94,Springfield Gardens,No of Hispanic,48
95,95,Springfield Gardens,No of Asian,28
96,96,Staten Island,No of White,905
97,97,Staten Island,No of Black,280
98,98,Staten Island,No of Hispanic,454
99,99,Staten Island,No of Asian,186
